Comment,Initial Reply,Replies,Likes
When you are not from America but  now suddenly this song makes sense for you,"have you been blind the last 20 years? America's problems are FAR deeper than racism
Just imagine living in a country where everyone has the right to hold a gun and kill anyone they like whenever they feel like it..its insanity",57,4123
"me: *searches what is america*
Google: a country on North America
Bing:",This is america,9,68
the director is  Japanese but THIS IS AMERICA,what does the director being japanese have to do with it lmfao,1,21
"“Racism isn’t getting worse, it’s getting filmed” - Will Smith",periodt,401,40235
"Black's, Hispanic's, middle eastern's, LGBT, and all in between, let's make this country again! Trump is gone but don't stop keep preaching the words and your rights! Let's make this country great for our future generations to come! Tonight let's dance but tomorrow let's get back to work!",Biden will ruin America,18,60
2 years later and nothing changed:( this song just hit different in 2020 this is America I mean this is our world. and this song is back it the top hits                                                                 Thank you for everyone we can make the change together ✊✊🏻✊🏼✊🏽✊🏾✊🏿,all the world with you #blacklivesmatter support from iraq,56,3964
Waiting for the sequel: this is Australia by Isaac butterfield.,Australian Dude get F:face_with_symbols_on_mouth:,31,522
Shyca ist grad Cabana,"""Why do you shot the black guy?""
Police: ""He had a gun pointed at us, there was nothing else we could've done except d i e d""",38,830
imagine walking into a parking garage and seeing this dude walking towards you dancing,I'm dead:skull:,3,37
"other rappers: diss other rappers

this guy: diss is america",Hhh,191,37393
Amo esse Clipe...toda vez que vejo ele encontro algum novo significado 👏🏼👏🏼👏🏼,Finalmente um brasileiro,1,5
"It doesn't matter if the song is 2 years old , it will always describe America","Razmig Partamian what if America changed in the next 30 years, would that not make the song outdated in anyway",33,1919
"“Racism is not getting worse, it is getting filmed” -Will Smith","Pamela Aranzazu it’s so crazy how stuff is happening so fast, but black people are slowly getting what needs to be got! It always helps to look on the bright side, even when it feels impossible.",7,702
"2020, Biden/Harris just won the election. We have work to do. This is still America. 🖤🖤🖤","Remember this when Trump is elected for a 2nd term. Wake up, media LIED 2 U, Facebook LIED 2U...",3,33
This isn’t your first time here.,Yeah it is,500,48169
"Childish spine: wait why am in heaven?

Man in chair: First time?",Why is everyone saying the n word im black and im not even allowed to say it,2,0
"2005 - This is Youtube
2006 - This is Sparta
2007 - This is 2 Girls 1 Cup
2008 - This is Trollface
2009 - This is Annoying Orange
2010 - This(My Name) is Pewdiepie
2011 - This is Nyan Cat
2012 - This is DUUUMB WAAAYS TOOO DIEEE
2013 - This is Doge
2014 - This is All Star
2015 - This is Undertale
2016 - This is(We are) Number One
2017 - This is 2+2=4
2018 - This is America
2019 - This is Raid: Shadow Legends
2020 - This is...well, just madness","I can explain everything in the replies of this comment, if you need any help.",3,50
"Every body movement, every camera shot, every facial expression; this is art.",james. Exactly it really is,18,1570
This is a visual representation of America 2020...,"America has always been like this. 

Nothing new is happening. It's just getting filmed now.",16,2065
"Someone: **speaks different language** 
Karen:",South america?,3,35
"Is this the McDonald’s drive through?




No this is America",Lol:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,7,293
"American:  attacks iran 
Irã: why 
Brasil: que música legal","American: What?
Brazil: THIS IS BRAZIL 
Ashuashuashua, vou tomar minhas pílulas",18,276
RIP to the people who dont know the actual meaning of this song,Jason Snyder What is the meaning of this song ;-;,83,4460
no way is this 2 years old. it feels like it came out last month.,It comes out everyday.,55,7176
Why does the guy who said this is America use an AK47 it’s a Soviet weapon,Cause America always takes stuff from other countries and makes it better.,2,3
"Who else before WWIII 

👇👇👇👇👇👇👇👇",No shit dumbass it ain't happen yet,10,381
"George Floyd, Ahmaud Aubrey, Breonna Taylor,
Tamir Rice, Dontre Hamilton, Michael Brown, Eric Garner, John Crawford III, Ezel Ford, Dante Parker, Tanisha Anderson, Akai Gurlery, Rumain Brisbon, Jerame Reid, Tony Robison, Phillip White, Eric Harris, Walter Scott, Freddie Gray, Sean Reed, Steven Demarco Taylor, Ariane McCree, Terrance Franklin, Miles Hall, Jamee Johnson, Antwon Rose, Stephon Clark, Yassin Mohamed, Finan H Berhe,Darius Tarver, William Green, Kwame “KK” Jones, De’von Bailey, Christopher Whitfield, Anthony Hill, Eric Logan, Jamarion Robinson, Gregory Hill Jr, JaQuavion Slaton, Ryan Twyman, Brandon Webber, Jimmy Atchison, Willie McCoy, Emantic “EJ” Fitzgerald Bradford Jr, D’ettrick Griffin, Jemel Roberson, DeAndre Ballard, Botham Shem Jean, Robert Lawrence White, Anthony Lamar Smith, Ramarley Graham, Manuel Loggins Jr. Trayvon Martin, Wendell Allen, Kendrec McDade, Larry Jackson Jr, Jonathan Ferrell, Jordan Baker, Victor White III,kEzell Ford, Kajieme Powell, Lacquan Mcdonald, Sandra Bland, Rodney Hess, Dion Johnson, Sean Bell, Amadou Diallo, PHILANDO CASTILE, Emmett Till, George Stinney, Chavis CarterDave Patrick Underwood
Calvin Horton Jr, Antonio Maze Jr, David McCatee, Dorian  Murrell, Marvin Francois, Chris Beaty, Robert Forbes, Italia Marie Kelly, John Tiggs, Aaron Jay Danielson, Cannon Hinnant

Secoria Turner, David Dorn, Jessica Doty Whitaker, Zackary, David Randalls, Mark James Gassett, David Martin Jackson  #SAYTHEIRNAMES",Finally someone mentioned about freddie gray,12,292
"People saying in the comments  ""Childish Gambino predicted the future"", No this is how America was founded. This is a Documentary!",Ain’t You loving the American Reality?,6,328
Am I the only one hearing both “this is America” and “this is a miracle”? I’ve been thinking about this for 2 years. Or I’m just looking for another piece of hidden sense and irony,oh wow now that you mention it i hear it,1,0
this song is still relevant to this day. we still the bullies. THIS IS AMERICA,"It came out 2 years ago....yeah... still pretty relevant lol.
Wait til 20 years pass by and not much change",4,114
"Gambino literally predicted what would happen if America doesn’t make changes by addressing police brutality and racism issues...and we are here now...this is America.
Edit: Read my explanation of what Gambino ""predicted"" through the music video in my comment for more context. 
TLDR: it's directly related to the imagery of our current protests in his mv (violence, riots, etc), foreshadowing to what was going to happen at that breaking point where if issues aren't fixed, there will be a big resistance through non-stop protests for anti-racism and anti-police brutality cause just like it is happening today.",He didn't predict anything. Gambino was down to earth.,14,698
Is a shame so many missed the message. It's even stated clearly at the end.,"I think I get the message, but I'm also confused why he shoots ppl in the video and how that fits into the message?",3,26
"2:29 gave me the chills!! No one in the video are wearing masks and briefly you see people or kids wearing them.  The first death of coronavirus was 2/29/20 announced by the CDC.
Death riding a pale horse is chilling! Coincidence 🤔??  This song definitely hit home now!!",People see what they want to see :woman_shrugging_selector:,4,20
"When the guy gets shot in the beginning he gets dragged away while the gun is handled with care.


 This is America",STFU.,500,120890
"If you're reading this,






you can read.",caca,1,13
Childish gambino about to make a “this is America” pt.2,For real?,14,1463
Who is here after Biden Won?,Joe,1,5
Unfortunately this song will probably never lose its topicality. No other masterpiece embodies so many *messages and facts.,"Я нахуй уважаю вас:flexed_biceps: надеюсь вы справитесь с ситуацией в стране, ебите нацистов, я нихрена не понял что ты написал, но я решил тоже что-то написать",11,799
"No joke this is one of the greatest music videos of all time.

It's a genuinely terrifying song. Like it's one of those songs you feel guilty for bopping your head to. I'm not American but some of my friends are and I can't imagine how frightening it must be to live there right now.

What makes me sad is the fact that if America doesn't get it's act together...this song will always be relevant.",You are just repeating what your sick sad inadequate Professors told you.  You attacked your own country. The place that has kept you safe your entire life.  You could of been born in Iraq.  And you attack America.  Do not have children.  Each and every one of you protesters - traitors - and sick from the  TV weirdos will be dealt with one by one when ya's least expect it.  You sick disgusting ungrateful garbage.,19,8
They made America a real thing after this song,What do you mean,35,4256
"2018: This is america

2020: Black lives Matter

Also 2020: Among us Dances",Wow. We’re an idiotic species of creative geniuses.,3,55
"I don't get how people hate other people because of their SKIN COLOR. Like tf this is so stupid in the end we are all human and a color shouldn't be a problem. And I also think calling a skin color a ""race"" like ""the black race"" and ""the white race"" is stupid too bc we're the race human y'allllll",Also the hate to Muslim,53,1186
People saying I’m the comments “Childish Gambino predicted the future” but he didn’t. This has been a problem in America for years but it’s only more relevant in the media now. He just acted earlier than we did.,^^ thanks,132,12671
only people who didn't come from tik tok can like this.,I hate Tik Tok.,4,25
"the sheer amount of metaphors, analogies and other societal commentaries are astounding. and entirely relevant.",You could watch it 50 times and still be picking up something new on the 51st watch.,13,1570
Virginia: We are about to prove this man point,Good prediction,3,33
When the Song is 2 years old but this is still america.,"This has always been America but hopefully the protests will change it for the better. 
Now is your time, Americans, please don't make my comment age like milk.
Sincerely, a concerned Canadian.",42,4587
"Iran: *Invades mainland America*


Also Iran: ""Why do I hear boss music?""",send em to chicago,6,84
2 years later and it’s still reflecting america. what the hell is wrong with this country.,the country isn’t going to change in 2 years,223,8728
"is this america?


*no this is Patrick*",sifedine tajjiou funny,9,134
0:53 Karens when they hear someone speak Spanish.,True,1,14
"He didn't predict the future,  he was living in the present.",sub 2 me,3,870
"Killed over a $20 Bill







This is America",it’s messed up. I’m embarrassed to say I live in america,52,4436
"Please stop I can't breathe.
My stomach hurts.
My neck hurts.
Everything hurts.
They're going to kill me.
George Floyd
SAY MY NAME",#JusticeForGeorgeFloyd :raised_fist_light_skin_tone::raised_fist_medium-light_skin_tone::raised_fist_medium_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone:,1,266
"GET WELL soon America,  let the healing process begin. Make America ""SANE"" again.",Hopefully at least somewhat. We will be forever scarred.,5,9
"This song is still relevant in 2020, just shows we havent changed at all.",were kinda going backwards actually :/,303,25552
"America: Attacks Iran 
Iran: why 
Trump: This is America","Iran, and all middle eastern countries, have lost their minds",43,569
This song predicted the Black Lives Matter protests.,blm founded in 2013 and the same protests have been going on since rodney king,1,11
"This is still America. 
But even worse. 
Sincerely, 2020","Its always been like this, we are just now able to record it.",2,449
Imagine hearing this at the airport after arriving America,"*This Is London*

https://youtu.be/AIn2qmUIX0k
Imagine a ART VIDEO parody it super close to ""This Is America"" was done a while back ago, it also including with *a few minute of dark silent* for everyones to gain their composure  back . I really do appreciate for everybody to take a look at it.,  and thanks :heart_suit_selector:",146,24043
This song is the best ever,Facts,1,4
It’s president Election Day and this song is hitting differently for me,same. biden is winning but riots will happen anyways. please stay inside and stay safe.,84,4766
Wow I can’t believe they actually made a country after this song,Haven’t heard this one,500,88993
the fact this song is 2 years old and there are comments from mere hours ago shows how important and still relevant this song is.,It’s unfortunate that this song is relevant,54,9364
2 years later and this is STILL America...,"Jordyn Monique it always has been America, just over time things have gotten worse:/",5,540
"*Iran attack*

* Latin Americans, Canada and Denmark point to the USA*

this Is América. 

*Comment more than a month ago*

This no.",@Ki-Adi Mundi :face_with_tears_of_joy:,6,143
the definition of the america we live in currently.,"TJDNC Sadly....yeah. This is why I am moving to Maine. I know it is still in America, but I think it would be cool to be killed by a Stephen King monster.",38,3226
"*""They laughing at my 9cm,Wait till they see my 9mm""*


               ~The quiet kid",Karate kyle,465,62518
"Democrats will not magically fix everything. Celebrate a trump loss, not a biden victory. there’s still plenty of work to be done.",Biden is gonna do nothing except make this country worse,8,51
Atleast This Guy is Speaking Some real shit.... But in my Country (India) no artist Has this much of Guts to express the problems in our Society.....🇮🇳💔,:disappointed_face::disappointed_face::disappointed_face:,1,2
"I hate that this song is saying the truth but life is like that
Rest in peace George Floyd
#blacklivesmatter",John Fernandez blm. we’re all in this together. we got this.,40,1396
"From Malaysia, Rest in Power #GEORGEFLOYD Say no to racism. No matter where you are or who you are. This is inhumane and  disgusting. #BlackLivesMatter  #ICantBreath #GeorgeFloyd",funny how this happens in the US and *almost* nowhere else,10,397
"it’s horrifying how this song is becoming more and more relevant.                                                              edit: since i keep seeing comments about how’s its always been relevant i’m going to clear something up. In the past it has always been relevant, but we wouldn’t see protests and riots over it everyday, we all knew it was an issue (and obviously still is)but just like in the music video we would kinda of brush it off, or record it and not do much of anything about it, even though we were aware of this sad reality, until the murder of George Floyd.",More and more by Twice leggo!!!,17,1175
I’m here after George Floyd was murdered by Minneapolis cops. May he rest in justice.,Derek Chauvin should be sentenced to murder and the other officers jailed for life,5,497
"I CAN'T BREATH 
I CAN'T BREATH
SAY HIS NAME: GEORGE FLOYD",#icantbreathe r.i.p George floyd,10,247
A primeira vez q vi esse clipe tendi foi nada kkkkkkk,O clip é sobre racismo e o porte de armas no USA,1,2
"Shoots someone 
“THIS IS AMERICA”

No no, he’s got a point",especially because of the man's race,1,718
"Key words: “this is America”
“Police be trippin now” “guns in my area”
“Look how I’m live now” 

This is basically our world now",This was always our world,11,734
"2 years later




This is STILL America",Yeah rude but true,35,3014
"This song made me cry for the second time since it’s release. Racism is not getting worse, it’s getting filmed.","And idiots don't get smarter. Disregard the statistics and problems faced by other non-black US residents. All attention to the fact that a police officer caught a repeat offender during the arrest and accidentally killed him. Oh, sorry, it was not that he was a criminal that played a role, but that he was black. If they killed the white man like that, no one would care. Now the US has a new hero: a drug addict, counterfeiter and robber who threatened to kill a pregnant woman, Floyd George.",3,245
Had to come back to this after all the horrible shit that’s been happening lately.,"that horrible shit has always been happening, not lately... it wasn’t visible before",3,322
"The reason why this feels so new is because no matter how old this song is, it is still the truth.",True,15,727
it seems like we all come back to this song when another black victim is killed :(,*YEA YEA YEA YEA YEA YEA YEA YEA YEA YEA YEA*,46,3694
I came back to this song to see if I can understand why another innocent black man was killed. Of course the answer I got was : “This is America. “,there are lot of comments like yours but yours broke me a little :loudly_crying_face: you worded it in a beautiful (but devastating) way,57,1477
This song is becoming more and more accurate,*It is accurate*,493,51354
“I wish America loved black people as much as they love black culture” - Jalen Rose,True shit,31,2464
"“Racism isn’t getting worse, it’s getting filmed” - Will Smith 
SE VC É BR AQUI ESTÁ SEU COMENTÁRIO-  833 likes now",Copied its 3 hours later than the other one,13,869
I hate that nothing has changed since this song came out,The only thing that changed is that racism got worse,36,2408
It’s so crazy that childish gambino invented America!,Ikr!!,36,1728
Does anybody else find it scary that this song keep getting more and more true over the years?,i just had that thought,82,2418
We Definitely Need A This Is America Part 2 In 2020 ...,Periodt,4,177
"I am Brazilian! A week ago, a 14 year old black boy named João Pedro was killed by ""policemen"" in Rio de Janeiro, inside his own house, playing with his cousins! NO REASON! Soon after, a 19-year-old black man named Rodrigo was also killed in an action to distribute food baskets, also in Rio and WITHOUT REASON! Another case (happened if I wasn't wrong the day before yesterday, I'm not sure) of a delivery man named Matheus, was shot in the head because, according to the ""police"", he looked like a drug dealer! As if it wasn't bad, another delivery man (I can't say his name) was also killed in a stop order by ""policemen"" in a slum! (Both cases also in Rio de Janeiro) These two were not black, but their lives are also important! Just look at the ""reason"" for the deaths! Coincidence? Some ""policemen"" do not fulfill the real objective of the Police, which is to protect good citizens and go against those who really do bad things for society! The problem is not the uniform, but who wears it! The problem is not the police, the problem is certain policemen! 😓💔","Foda-se, americano não liga para brasileiro",13,603
This is trending again. That’s how you know someone killed an unarmed black man or school children again. 💔,i just came here searching for this comment,234,19722
is anybodys youtube down,fell for an hour :{,1,4
He is always wearing the same shirt,Right! The one he's wearing in the video is just...no...,1,2
Damn all these boomers told me this was a bad song and this is actually good,what makes them think it’s a bad song?,3,12
"Me:when will I be well
Doctor:until America comes out",He probably sucks at fortnite and ROBLOX,1,6
Why does it feel like this song just came out,Election season and Donald Glover coming back on Twitter?,1,2
The first time you were here TikTok wasn’t a thing,its true. first time I was here I didnt know what this song was about,10,695
"This is America
🔽






🔫",I know,1,6
Crazy how they named two continents after this song,Jacob Feurstein haha nice joke,5,29
"Joe Biden becomes president 

USA 2021:  2:00 to 2:12",Except it was more like this under Trump:thinking_face:,1,2
"I'm not black but I see you.
I'm not black but I hear you.
I'm not black but I will mourn with you.
I'm not black but I will fight with you.
✊🏻✊🏼✊🏽✊🏾✊🏿#BLACKLIVESMATTER","No justice, no peace :speaking_head_selector::speaking_head_selector:",9,190
"""This is America"",The title is wrong, it should be ""This is the United States"", America is a continent._.
en fin los gringos y su geografía xdd",We are America :Argentina::Brazil::Chile::Colombia::Cuba::Costa_Rica::Ecuador::Guatemala::Honduras::Panama::Puerto_Rico::Uruguay::Venezuela::Dominican_Republic::Jamaica::Mexico:,2,16
DID HE REALLY SHOOT HIM!?,its just edits lol,3,2
Who’s here after seeing all the police brutality and this pandemic😫?,Me,8,721
"Brasil: AMERICA É O CONTINENTE INTEIRO!

Iran:MORTE A AMERICA!

Brasil:
This is america (Ò-Ó )__EUA
                            /       \",@pedrym r/whooooosh,5,28
WHOS HERE AFTER BIDEN BECOMES PRESIDENT,YESS:blue_heart::blue_heart::blue_heart:,5,33
Did you actually shoot a person or am I just imagining things I’m scared but I like your music 🎵,bruh,1,0
Remember when people were shocked over this video? They aren't shocked now that's for sure.,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:. Truth HURTS,4,293
This song should be played in the protest on the street.,This and Mick Jenkin's Drowning.,11,433
"People from other countries: America is all the continent bro wtf...
USA: *THIS IS AMERICA*",gay,2,11
"SAY THEIR NAMES! Ahmaud Arbery, George Floyd, Breonna Taylor, Eric Garner, Mya Hill, Brian Day, George Mann, Dominique Clayton, Tanisha Anderson, Nathaniel Harris Pickett, Freddie Blue, Ezell Ford, Frank Smart, Dante Parke, Botham Jean, Walter Scott, Tameer Rice, Laquan Mcdonald, Anthony Ashford. That’s not even the start of it. How many more protests need to be held? How many more hearts need to be broken? How many more tears must be shed? How much more PAIN and OUTRAGE do we need to feel until JUSTICE is served?!!!???",Shut up,18,431
I wish I did one thing as well as Donald Glover does everything.,Cyranek indeed comrade,221,42148
donald just letting us know hes talented at every single thing hes ever done,FG you better a lyric video about this man.,141,20015
This song is actually a masterpiece. Art is the best way to convey message,"@DoubleA Gaming but.
That's the reality",500,108512
Who is here after #blacklivesmatter ?that's so sad . Racism doesn't be in 21st century.,And the protest turned into mayhem and unpeacful :(,91,2537
"Who’s here after those 4 police officers murdered George Floyd on camera and were only fired and nothing more also the news only refers to him as “black man” and doesn’t even use his name 

*THIS IS AMERICA*",THIS IS AMERIKKKA. #justiceforfloyd #justiceforahmad,12,667
"“Racism isn’t getting worse, it’s getting filmed” - Will Smith",Lol,41,1552
The most relevant song in American History.,Strange Fruit - Billie Holiday,63,4732
"George Floyd
Trayvon Martin
Breonna Taylor
Ahmaud Arbery
Tamir Rice
Oscar Grant
Eric Garner
Philando Castile
Samuel Dubose
Sandra Bland
Walter Scott
Terrence Crutcher",SAY THEIR NAMES!! Black Lives Matter,29,497
"Innocent people getting killed because of their skin colour. 

This is America.",사랑Ciara boo you’re in canada,10,783
"""I can't breathe"".
-George Floyd, America 2020.",Bruh how many comments are you gonna post,2,170
"people saying ‘all lives matter’ rn , that’s true, but rn we have to focus on black lives matter, because of everything that has happened .","Those ""all lives matter"" comments are garbage, mostly made by those who completely ignore the problem (racism). 

Different colour shouldn't be a reason to hate. What kind of manchild hates different colours?",10,159
The fact that this is trending again is a sign that there is a huge problem in America right now.,Nand0 how is not?,9,673
"if you guys didn't know, the silence from 2:44〜3:01 is 17 seconds, which implies the number of students who were shot in the Florida parkland shooting.

EDIT: Istg this song gets relevant every single day but some people don't understand enough. No matter what color, religion you are, everyone should be respected equally. Complexion doesn't mean a thing. I'm just a 17yr old Japanese guy, but I hope you embrace my  message.",Wot,426,36873
"*This song hits different in 2020*

🇹🇷",This song has always hit different,378,31317
"It's not white VS black, it's everybody VS racists 💙",:face_blowing_a_kiss: love you,10,333
"America: Kills Sulaimany
Iran:Why
America:This Is America",Sulaimani was not an innocent man,14,55
"0:52 oh hey when you disagree with someone in 2020


1:56 oh this is a classic American tradition",*THIS IS AMERICA*,1,2
I really hope that someday this song won’t be relevant.,"It gets worst actually. Not trying to be a douche but take a step back and look at everything. Social Conditioning by the media that welcomes violence and destruction when agenda needs it, Social Media taking a slice of that pie making it worst, controlling elections, only goes downhill from now on coz whose gonna stop it? Like really who? The people? Nope not by a long shot coz the people welcome it coz they are conditioned to think that way till they actually regret it one day and they won't see it coming. How do you see this end like personally? All i can see is US dont wanna compete with the next super power while the other one wants to fight it and guess what, he's about to lose coz the big bois in the table all chimed in and reached an understanding that he needs to go. Only thing good about all this is we'd be dead before it all goes nutty bananas but tough luck with the people we leave behind. I guess Jackie Chan was right, people want to be guided ""The easy way to live life is going by the book, question is who wrote it"". Freedom existed back then but the big bois says its a bad thing so no what?",1,0
"2:14 ""I'm so fitting, I'm on Gucci, I'm so pretty (yeah yeah), I'm gonna get it, watch me move""

I think this implies the media blocking out what actually goes on in America. Making it seem like this wonderful place dispite it's history.",yeah and also at 2:05 you can hear gunshots and people screaming then it stops quickly when he puts his arms up,3,2
"Exactly how I feel

I’m 34 and I fear for my kids and my safety everyday

I live in a nice area so I won’t let my teenage son out after dark

Too scared someone will accuse him of some ungodly thing or kill him for walking down the street 

I work hard for my life but I have to limit my sons freedom because This Is America","make sure you TELL HIM WHY Youre afraid for his safety.
make sure he knows that there IS a War on, in this land, and that there are Real predators, out there.
not only is he still too weak and inexperienced to defend himself, but he DOESNT KNOW Who's who, out there.
theyre hiding their identities, deeds and intentions.
get yourself a support group together, ASAFP!
Good Luck, Mom.",3,7
This is my country! I am proud to be an American! God bless our country! Lets go Biden!!!,YES,1,2
Absolute masterpiece. This is one of the best music videos ever created.,Could you please tell me what it is about? It is my first time seeing it but I don't understand what is going on,1,0
It’s just crazy how relevant this song has gotten more & more.,yeah and all the dancers reminds me to tiktokers,3,332
This song is now more relevant than ever,It was as relevant in 2018 as it is today.,8,849
Now Trump lost. Such a great day!,Hi im from Indonesian,22,45
"This month is literally this music video personified, prove me wrong",I can't. I dont want too,5,293
I am here in July but nothing has changed. This Is America,Faith Zikali If you are still alive you will be saying this 50 years from now. :pensive_face:,45,1198
How can people dislike this he is telling facts,That's why people disliked it.,18,985
2020 and more black victims. Silence is BETRAYAL,I know. I feel like I can't go outside safely because I'm black.,8,722
Who hates the fact that America be burning dese days tho,I didnt see any republicans burning down buildings when they lost the election :man_shrugging_selector:,4,18
"George Floyd: ""Please, please I can't breathe""
4 Minneapolis cop's logic: He is still talking, he is fine","Even when he pass out, they still not release him, what the fuck up thing to see.",16,352
"And here we are, another sad death of an unarmed black man while we out here tick tocking being distracted smh. This is America.","if you’ve been on tiktok recently, you’d know people are supporting the black lives matter movement on there. the minneapolis protests have blown up on tiktok. tiktok helped information spread faster, if anything.",3,247
Wow I can't believe he invented gun violence a year ago,Xenoslyce there’s been fun violence,2,5
"This art has never been more poignant, horrifying, and meaningful. This ISN'T the America that I want to be a part of.  This HAS TO STOP. Police brutality has gotten out of control. You should feel rage. You should feel undying rage if your soul is intact. THIS IS NOT AMERICA!!! Not my president, not my Jesus, not MY AMERICA!","it ain’t even police brutality no more, it’s literally murder.",4,325
"This song hits different now...., we are all humans, not colors to be judged about.","sadly a lot of people think differently, they are stuck in 1800 ^^",4,796
тут все англичани а я РУССКИЙ!),Факюрашаянин,2,0
